category,order,question,answer
Pop culture,2,"À quel artiste jamaïquain doit-on la chanson ""I Shot The Sheriff"" ?",Bob Marley
Pop culture,3,Quel lapin hystérique est marié à la sublime Jessica dans un film d'animation sorti en 1988 ?,Roger Rabbit
Pop culture,4,"Quelle chanteuse Noire américaine obtient un grand succès en 1985 avec ""We Don't Need Another Hero"" ?",Tina Turner
Pop culture,5,En quelle année avant Jésus Christ les aventures d'Astérix débutent-elles ?,50 (avant J.C.)
Pop culture,Départage,"Quel humoriste français a réalisé le film intitulé ""Fatal"", sorti en 2010 ?",Michaël Youn
Pop culture,Départage,"Dans la saga Harry Potter, comment s’appelle la chouette du jeune sorcier ?",Hedwige
Savoirs académiques,1,Quel nom porte le côté d'un triangle rectangle opposé à l'angle droit ?,Hypoténuse
Savoirs académiques,2,Quelle déesse grecque de la Guerre et de la Raison naquit en sortant tout armée du crâne de Zeus ?,Athéna
Savoirs académiques,3,"A quel peintre français, ami de Van Gogh, doit-on le tableau ""Femmes de Tahiti"" ?",Paul Gauguin
Savoirs académiques,4,"Qui est l'auteur de la comédie Le jeu de l'amour et du hasard, créée à Paris en 1730 ?",Marivaux
Savoirs académiques,5,"Quelle unité de mesure de force, qui a pour symbole la lettre ""N"", tient son nom d'un physicien anglais ?",Le newton
Savoirs académiques,1,"Dans la mythologie grecque, comment se prénomme le chien à plusieurs têtes qui garde l'entrée des Enfers ?",Cerbère
Savoirs académiques,2,"Quel chimiste du 18ème siècle aurait déclaré : « rien ne se perd, rien ne se crée, tout se transforme » ?",Antoine de Lavoisier
Savoirs académiques,3,"Quel philosophe, est l'auteur de la pièce : ""Huis clos"" ?",Jean-Paul Sartre
Savoirs académiques,4,"En informatique, combien faut-il de bits pour faire un octet ?",8
Savoirs académiques,5,"Quel sociologue français, disparu en 2002, est l'auteur des ouvrages Les héritiers et de La distinction ?",Pierre Bourdieu
Savoirs académiques,Départage,En quelle année le mur de Berlin est-il tombé ?,1989
Savoirs académiques,Départage,"Quel squelette appartenant à la lignée humaine a été découvert en 1974 sur le site de Hadar, en Éthiopie ?",Lucy (australopithèque)
Vie quotidienne,1,"Dans la comptine ""Ah ! les crocodiles"", sur les bords de quel fleuve les crocodiles sont-ils partis ?",Le Nil
Vie quotidienne,2,"Dans le domaine de la santé, que signifie le “P” du sigle C.P.A.M. ?",Primaire
Vie quotidienne,3,De quelle plante légumineuse tropicale la cacahuète est-elle le fruit ?,L'arachide
Vie quotidienne,4,"En cuisine, quel verbe désigne l'action de dissoudre les sucs de cuisson à l'aide d'un liquide, pour obtenir une sauce ?",Déglacer
Vie quotidienne,5,"Quelle plante cultivée pour sa racine, dont le nom vient du suédois, est voisine du navet et est appelée : ""chou de Siam"" ?",Le rutabaga
Vie quotidienne,1,"À la maison, quel objet est familièrement appelé la ""zappette"" ?",La télécommande
Vie quotidienne,2,"Dans le premier couplet de La Marseillaise, quelle est la seule phrase à faire l'objet d'un bis ?",L'étendard sanglant est levé !
Vie quotidienne,3,"Quel instrument de musique, de la famille du luth, est l'homonyme d'un ustensile de cuisine servant à émincer les légumes ?",Une mandoline
Vie quotidienne,4,"Quelle est la substance active qui compose le Doliprane, le Dafalgan et Efferalgan ?",Le paracétamol
Vie quotidienne,5,"Quelle plante vivace est une variété proche du thym, ce qui lui vaut le surnom “d'origan des jardins” ?",La marjolaine
Vie quotidienne,Départage,"Dans quel apéritif à base de vin rouge additionné de sucre, fait-on macérer des fruits de saison coupés en morceaux ?",La sangria
Vie quotidienne,Départage,"Comment appelle-t-on l'alphabet conventionnel en relief, à l'usage des non-voyants ?",Le braille
Éliminatoire,1,"Lésion courante et superficielle, mais douloureuse, je guéris spontanément et peux être soignée avec du vinaigre ; touchant toutes les populations, je me développe suite à une prolifération de bactéries ou à l'ingestion de certains aliments ; si je suis récurrente, je peux évoquer des pathologies digestives ; ulcère de la muqueuse buccale se formant sur la langue ou sur l'intérieur des lèvres, mon nom vient du grec, apto, signifiant brûler... Je suis :",Un aphte
Éliminatoire,2,"Type d'opération militaire qui aurait eu lieu pour la première fois en 490 avant J.C. ; mon exemple le plus connu s'est déroulé en Normandie ; consistant à déployer sur la côte des soldats et du matériel militaire, en vue d'une invasion ; associé à la plage d'Omaha Beach ; le film ""Il faut sauver le soldat Ryan"" de Steven Spielberg est basé sur l'une de mes histoires... Je suis :",Un débarquement
Éliminatoire,3,"Sous l'influence de mon fondateur né en 1926, mon premier magasin ouvre à Älmuhlt ; chacun de mes employés reçoit le ""Testament d'un négociant en meubles"" ; connu sous un acronyme de 4 lettres, mon activité est la conception et la vente de mobilier en kit et d'objets de décoration ; mes 2 couleurs distinctives correspondent à celles de mon pays d'origine... Je suis :",IKEA
Éliminatoire,4,"Équipe sportive ayant joué mon premier match officiel en 1903, je suis la seule équipe dans ma discipline à avoir remporté 3 coupes du monde ; mon surnom apparaît pour la première fois dans un compte-rendu de match en 1905 ; mon sélectionneur actuel est Stebe Hansen et Jonah Lomu a été l'une de mes figures marquantes ; mes rugbymen portant un maillot noir sont célèbres pour le rituel du haka... Je suis :",Les All Blacks
Finale,Connaissance du monde 1,"Quelle unité de mesure de masse de 0,2 gramme est utilisée dans le commerce des diamants ?",Le carat
Finale,Connaissance du monde 2,Dans quel quartier de New York se trouve Wall Street ?,Manhattan
Finale,Connaissance du monde 3,"En France, quel nom est donné au siège du président du Sénat ?",Le plateau
Finale,Loisirs et sports 1,"Présenté aux USA en 1968, quel dispositif de pointage sur écran deviendra ensuite indispensable à l'utilisation des ordinateurs ?",La souris
Finale,Loisirs et sports 2,Quel pilote a remporté le championnat du monde de Formule 1 en 2024 ?,Max Verstappen
Finale,Loisirs et sports 3,Comment appelle-t-on un amateur de course de taureaux ?,Un aficionado
Finale,Pop culture 1,"Quel groupe pop-rock a fait un tube avec le titre ""Roxanne"" à la fin des années 70 ?",The Police
Finale,Pop culture 2,Quel célèbre manga d’Akira Toriyama a contribué à populariser le genre shōnen dans les années 1980 ?,Dragon Ball
Finale,Pop culture 3,"A quel groupe féminin américain doit-on les tubes des années 60 : ""Stop ! In the Name of Love"" et ""The Happening"" ?",Les Supremes
Finale,Savoirs académiques 1,"Dans quel film Yves Montand susurre-t-il à Louis de Funès : “Il est l'or, l'or de se réveiller, mon seignor, il est huit or...” ?",La Folie des grandeurs
Finale,Savoirs académiques 2,Quel nom spécifique désigne les deux dernières paires de côtes ?,Côtes flottantes
Finale,Savoirs académiques 3,"En 1888, quel philosophe allemand écrit un ouvrage intitulé ""Ecce Homo"" ?",Friedrich Nietzsche
Finale,Vie quotidienne 1,"Que désigne la lettre ""S"", de l'acronyme S.A.M.U. ?",Service
Finale,Vie quotidienne 2,"En botanique, comment s'appelle l'enveloppe du marron, de la châtaigne recouverte de piquants ?",La bogue
Finale,Vie quotidienne 3,"À quel grand peintre abstrait, la firme Renault a-t-elle fait appel en 1972 afin de rajeunir son logo ?",Victor Vasarely
Super Finale,Pop culture 1,Dans quel jeu de société un meurtre peut-il être commis par le colonel Moutarde dans la salle à manger ?,Le Cluedo
Super Finale,Pop culture 1,"Dans quelle série d'animation culte, Stan Marsh s'écrie-t-il régulièrement : ""Oh mon Dieu, ils ont tué Kenny !"" ?",South Park
Super Finale,Loisirs et sports 2,"Quel ancien champion du monde de football est monté sur les planches en 2010 dans une pièce intitulée ""L'Intrus"" ?",Franck Leboeuf
Super Finale,Loisirs et sports 2,"De quel couturier français, l'actrice américaine Audrey Hepburn était-elle l'égérie ?",Hubert de Givenchy ou Givenchy
Super Finale,Vie quotidienne 3,Contre quelle maladie le vaccin B.C.G. nous protège-t-il ?,La tuberculose
Super Finale,Vie quotidienne 3,"Quel mot comportant deux ""Z"" désigne l'assortiment de hors-d'œuvre, le plus souvent froids, de la cuisine orientale ?",Mezze
Super Finale,Connaissance du monde 4,"Quel État européen a pour devise : ""Dieu et mon droit"" ?",La Grande-Bretagne ou le Royaume-Uni
Super Finale,Connaissance du monde 4,Quelle mer intérieure de la Méditerranée borde les côtes de l'île grecque appelée Lesbos ?,La mer Égée
Super Finale,Savoirs académiques 5,De quel phénomène naturel l'échelle de Beaufort mesure-t-elle la force ?,Le vent
Super Finale,Savoirs académiques 5,"À quel auteur brésilien doit-on le roman ""L'Alchimiste"" ?",Paulo Coelho
Super Finale,Mort subite 1,"Selon l'expression, lorsque l'on vit de façon excessive, que ""brûle-t-on par les deux bouts"" ?",La chandelle
Super Finale,Mort subite 2,"Dans quel film de 1984, un groupe de scientifiques, emmené par Bill Murray, fonde une société destinée à chasser les revenants",S.O.S. Fantômes ou Ghostbusters
Super Finale,Mort subite 3,Dans quel sport s'est illustrée Suzanne Lenglen dans les années 1920 ?,Le tennis
Super Finale,Mort subite 4,"De quel pays était originaire Garcimore, le magicien maladroit, complice de Denis Fabre à la télévision ?",L'Espagne
Super Finale,Mort subite 5,Dans la gastronomie de quel pays peut-on déguster des beignets appelés tempura ?,Le Japon
Super Finale,Mort subite 6,"Comment appelle-t-on le fait de ne pas participer à un vote, pour un citoyen inscrit sur les listes électorales ?",L'abstention
Super Finale,Mort subite 7,Quels sont les deux seuls États d'Amérique du Sud privés de littoral marin ?,La Bolivie et le Paraguay
Super Finale,Mort subite 8,"Combien de pattes possède le griffon, animal fabuleux à tête d'aigle ?",Quatre
Super Finale,Mort subite 9,"Au IVe siècle avant J.-C., quel philosophe grec considéré comme le père de la logique fut le précepteur d'Alexandre le Grand ?",Aristote
Super Finale,Mort subite 10,À quel homme politique et physicien américain doit-on l'invention du paratonnerre en 1752 ?,Benjamin Franklin
