category,question,answer
Savoirs académiques,"Quel est l'élément principal, qui, ajouté au fer, permet d'obtenir de l'acier ?",Le carbone
Savoirs académiques,Dans quel roman de Jonathan Swift le héros visite-t-il l'île de Lilliput ?,Les Voyages de Gulliver
Savoirs académiques,Quel est le nom du tableau de Dali représentant des montres molles ?,La persistance de la mémoire
Savoirs académiques,"Quelle période historique, centrée sur la raison et les découvertes, s'étend principalement au 18ème siècle en Europe?",Les Lumières
Savoirs académiques,Quel système de stockage de données a été inventé en 1971 par IBM ?,La disquette
Savoirs académiques,Quelle est le quatrième planète la plus proche du Soleil ?,Mars
Savoirs académiques,Quel peintre a réalisé la fresque de la Chapelle Sixtine?,Michel-Ange
Connaissance du monde,"En matière de protection de la nature, que signifie le sigle WWF ?","World Wide Fund for Nature, auparavant World Wildlife Fund"
Connaissance du monde,Comment appelle-t-on plus couramment l'encéphalopathie spongiforme bovine ?,La maladie de la vache folle
Connaissance du monde,"Que sont Damoclès, Durandal et Excalibur ?",Des épées
Connaissance du monde,"Quel dieu hindou est considéré comme ""Le destructeur"" ?",Shiva
Connaissance du monde,Quelle boisson alcoolisée est distillée à partir de mélasse fermentée ?,Le Rhum
Connaissance du monde,Quel animal figure sur le drapeau du Pays de Galles ?,Un dragon
Connaissance du monde,Quel genre d'animal est la pipistrelle ?,Une chauve-souris
Connaissance du monde,"Quel personnage biblique, connu pour son grand âge, est devenu un symbole de longévité ?",Mathusalem
Connaissance du monde,Quel personnage de la mythologie grecque est souvent représenté portant le monde sur ses épaules ?,Atlas
Connaissance du monde,Dans quel pays la porcelaine a-t-elle été inventée ?,La Chine
Connaissance du monde,"Quelle locution latine, qu'on trouve parfois la fin d'une lettre, est abrégée P.S. ?",Post scriptum
Éliminatoire,"Au poker, quelle est la plus forte de toutes les paires ?",Paire d'As
Éliminatoire,Qui a gagné la première édition de la Star Academy ?,Jenifer
Éliminatoire,Quel acteur incarne au cinéma le personnage de Jack Sparrow ?,Johnny Depp
Éliminatoire,Dans quel pays se trouve la ville de Tokyo ?,Japon
Qualification,Comment appelle-t-on couramment un hôpital privé ?,Clinique.
Qualification,Quel héros grec est connu pour avoir dompté Pégase ? Bellérophon,Bellérophon.
Qualification,Quelle couleur associe-t-on au blé appelé sarrasin ?,Noir
Qualification,A quel groupe britannique doit-on la chanson « Yestersay » ?,The Beatles.
Qualification,"Dans la Grèce antique, comment s’appelait une ville ?",Cité
Qualification,De quel département serait originaire le camembert ? L’Orne,L'Orne.
Qualification,Pour quel film Gérard Depardieu a-t-il été nommé aux Oscars ? Cyrano de Bergerac,Cyrano de Bergerac.
Qualification,"Au jeu de poker Hold-em, quel nom de cours d’eau donne-t-on a la cinquième et dernière carte distribuée ?","La rivière (ou la ""river"" en anglais)."
Qualification,Quel aliment peut être dit « polka » ou « perdu » ?,Le pain.
Qualification,Quelle ancienne Miss France a présenté la cérémonie des Victoires de la musique 2023 ? Laurie Thillemann,Laurie Thillemann.
Qualification,Comment appelle-t-on une personne qui pratique un sport à titre non professionnel ?,Amateur.
Qualification,Quelle ville d’Espagne a accueilli le fameux match France - RFA lors du mondial de 1982 ?,Séville.
Qualification,Quelle est la couleur de la coiffe de « La Laitière » de Vermeer ?,Blanche
Qualification,Quel département français trouve-t-on en changeant une lettre au département de l’Aube ?,Aude.
Qualification,À quel architecte doit-on la réalisation du nouveau tribunal de Paris ? Renzo Piano,Renzo Piano.
Qualification,En quelle langue écrivait principalement le poète Virgile ? Latin,Latin.
Qualification,Quel est le métier de Waren Beatty dans le film « Shampoo » ?,Coiffeur.
Qualification,Quelle voyelle ayant la forme du « O » est située juste avant le Pi dans l’alphabet grec ? Omicron,Omicron.
Qualification,"En architecture, comment appelle-t-on une statue de femme tenant lieu de colonne ?",Cariatide.
Qualification,Qui fut le premier président de la cinquième République ?,Charles de Gaulle.
Qualification,Quel jeu de devinettes commence toujours par « Mon premier » ?,Charades.
Qualification,Quel acteur incarne Mark Harris dans la série l’homme de l’atlandide ?,Patrick Duffy.
Qualification,Sur la couv de quel album de tintin voit on un chef indien ?,"""Tintin en Amérique""."
Qualification,Selon l’expression combien de mains gauches a t on quand on est maladroit ?,Deux mains gauches.
