category,question,answer
Savoirs académiques,Quel artiste a peint 'La Nuit étoilée'?,Vincent van Gogh
Savoirs académiques,Qui est souvent considéré comme le père de la psychanalyse?,Sigmund Freud
Savoirs académiques,"Quel mathématicien britannique célèbre pour avoir contribué au décryptage des codes ennemis pendant la seconde guerre mondiale, est le héros du film ""The Imitation Game"" ?",Alan Turing
Savoirs académiques,Quel élément chimique a pour symbole 'Au'?,Or
Savoirs académiques,Quelle tragédie de William Shakespeare raconte l'histoire d'un prince danois qui cherche à venger la mort de son père?,Hamlet
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde?",Florence
Savoirs académiques,Quel philosophe a écrit 'Le Contrat social'?,Jean-Jacques Rousseau
Savoirs académiques,Quel est le nom du créateur de la première version du système d'exploitation Linux?,Linus Torvalds
Savoirs académiques,Quelle maladie est causée par le virus VIH?,SIDA
Savoirs académiques,Quel nom est donné à la branche de la médecine qui étudie et traite les maladies du cœur et des vaisseaux?,Cardiologie
Connaissance du monde,Quelle reine anglaise est associée à l'ère victorienne?,Reine Victoria
Connaissance du monde,"Quel organe associé au mot ""perce"" forme le nom d'un insecte ?",Perce-oreille
Connaissance du monde,Quel est le nom français pour la focaccia ?,La fougasse
Connaissance du monde,"Dans la mythologie grecque, qui est le dieu de la mer, des tremblements de terre et des chevaux?",Poséidon
Connaissance du monde,Quel plat japonais est constitué de poissons crus et de riz vinaigré?,Sushi
Connaissance du monde,"Quel traîté de paix, signé en 1919, a mis fin à la première guerre mondiale ?",Le traité de Versailles
Connaissance du monde,Quel oiseau d'Antarctique a un nom synonyme d'amputé d'une main ou d'un bras ?,Le manchot
Connaissance du monde,"Quelle est la traduction de l'expression ""Mens sana in corpore sano"" ?",Un esprit sain dans un corps sain
Connaissance du monde,"Dans les superstitions occidentales, quel mammifère est souvent considéré comme de mauvais augure en raison de son pelage ?",Chat noir
Connaissance du monde,"Quel plat italien est fait de fines tranches de viande crue, généralement servies comme entrée?",Carpaccio
Connaissance du monde,Quelle créature mythologique est souvent décrite comme une femme avec le bas du corps d'un poisson?,Sirène
Éliminatoire,"Dans ""Les Peanuts"", comment s'appelle le chien de Charlie Brown ?",Snoopy
Éliminatoire,Quel nom de scène porte le duo comique formé par Omar Sy et Fred Testot ?,Omar et Fred
Éliminatoire,"Quelle est la spécialité espagnole constituée de riz, de légumes, de viande et/ou de fruits de mer, cuite dans une grande poêle?",Paella
Éliminatoire,Quel est le nom du service de réservation de voiture avec chauffeur fondé en 2009?,Uber
Qualification,Comment appelle-t-on couramment un hôpital privé ?,Clinique.
Qualification,Quel héros grec est connu pour avoir dompté Pégase ? Bellérophon,Bellérophon.
Qualification,Quelle couleur associe-t-on au blé appelé sarrasin ?,Noir
Qualification,A quel groupe britannique doit-on la chanson « Yestersay » ?,The Beatles.
Qualification,"Dans la Grèce antique, comment s’appelait une ville ?",Cité
Qualification,De quel département serait originaire le camembert ? L’Orne,L'Orne.
Qualification,Pour quel film Gérard Depardieu a-t-il été nommé aux Oscars ? Cyrano de Bergerac,Cyrano de Bergerac.
Qualification,"Au jeu de poker Hold-em, quel nom de cours d’eau donne-t-on a la cinquième et dernière carte distribuée ?","La rivière (ou la ""river"" en anglais)."
Qualification,Quel aliment peut être dit « polka » ou « perdu » ?,Le pain.
Qualification,Quelle ancienne Miss France a présenté la cérémonie des Victoires de la musique 2023 ? Laurie Thillemann,Laurie Thillemann.
Qualification,Comment appelle-t-on une personne qui pratique un sport à titre non professionnel ?,Amateur.
Qualification,Quelle ville d’Espagne a accueilli le fameux match France - RFA lors du mondial de 1982 ?,Séville.
Qualification,Quelle est la couleur de la coiffe de « La Laitière » de Vermeer ?,Blanche
Qualification,Quel département français trouve-t-on en changeant une lettre au département de l’Aube ?,Aude.
Qualification,À quel architecte doit-on la réalisation du nouveau tribunal de Paris ? Renzo Piano,Renzo Piano.
Qualification,En quelle langue écrivait principalement le poète Virgile ? Latin,Latin.
Qualification,Quel est le métier de Waren Beatty dans le film « Shampoo » ?,Coiffeur.
Qualification,Quelle voyelle ayant la forme du « O » est située juste avant le Pi dans l’alphabet grec ? Omicron,Omicron.
Qualification,"En architecture, comment appelle-t-on une statue de femme tenant lieu de colonne ?",Cariatide.
Qualification,Qui fut le premier président de la cinquième République ?,Charles de Gaulle.
Qualification,Quel jeu de devinettes commence toujours par « Mon premier » ?,Charades.
Qualification,Quel acteur incarne Mark Harris dans la série l’homme de l’atlandide ?,Patrick Duffy.
Qualification,Sur la couv de quel album de tintin voit on un chef indien ?,"""Tintin en Amérique""."
Qualification,Selon l’expression combien de mains gauches a t on quand on est maladroit ?,Deux mains gauches.
