category,question,answer
Savoirs académiques,"À quel objet astronomique, doté d'un champ gravitationnel si intense qu'aucun rayonnement ne peut en sortir, a-t-on pris en photo en 2022 ?",Un trou noir
Savoirs académiques,"Sous quel titre connaît-on mieux le ""Dictionnaire raisonné des sciences, des arts et des métiers"" de Diderot et d'Alembert ?",L'Encyclopédie
Savoirs académiques,"Quel conte pour enfant, dans lequel une petite fille poursuit un lapin blanc dans un monde souterrain, doit-on à Lewis Carroll ?",Alice au pays des Merveilles
Savoirs académiques,"En 1962, quel célèbre peintre américain a exposé simultanément 32 tableaux représentant des boîtes de soupe ?",Andy Warhol
Savoirs académiques,"Dans l'oeil, quelle mince membrane de 0,5 millimètre d'épaisseur contient des cellules qui captent les signaux lumineux ? ",La rétine
Savoirs académiques,"En avril 1990, quel téléscope spatial, portant le nom d'un astrophysicien américain, est mis en orbite par la navette ""Discovery"" ? ",Hubble
Savoirs académiques,Combien une araignée a-t-elle de paires de pattes locomotrices ?,Quatre
Savoirs académiques,"Qui est la fiancée du marin Popeye, dans la bande dessinée apparue en 1929 ?",Olive
Savoirs académiques,"En 1866, quel peintre français a réalisé le nu intitulé ""L'Origine du monde"", exposé au musée d'Orsay ?",Gustave Courbet
Savoirs académiques,"Dans l'alphabet phonétique de l'OTAN, la lettre ""B"" est désignée par le mot ""Bravo"". Quel mot désigne la lettre ""C"" ?",Charlie
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde ?",Florence
Connaissance du monde,Quelle est la capitale de la Corée du Sud ? ,Séoul
Connaissance du monde,"En 1997, sur quelle planète le robot Sojourner s'est-il posé pour confirmer la présence d'eau dans le sol ? ",Mars
Connaissance du monde,Quel mot est à la fois le nom d'un animal marin à tentacules et celui d'une Gorgone de la mythologie grecque ?,Méduse
Connaissance du monde,Quel nom donnait-on à un soldat de la Vieille Garde de Napoléon Ier ?,Grognard
Connaissance du monde,Avec la laine de quel animal fait-on des vêtements en cachemire ?,La chèvre
Connaissance du monde,"Quel pape a brièvement siégé au Vatican, entre Paul VI et Jean-Paul II ?",Jean-Paul Ier
Connaissance du monde,"Quel mot japonais désigne le tapis épais fait de nattes en paille de riz tressée, servant en particulier à la pratique des arts martiaux ? ",Le tatami 
Connaissance du monde,"Quel animal, réputé pour vivre dans le feu, était l'emblème de François Ier ?",Une salamandre
Connaissance du monde,Dans quel pays d'Amérique du Sud se trouve la ville d'Ushuaia ?,L'Argentine
Connaissance du monde,"Quelle est la traduction anglaise de ""garde du corps"" ?",Bodyguard
Connaissance du monde,"Dans l'hémisphère Sud, quelle saison début en juin pour s'achever en septembre ? ",L'hiver
Éliminatoire,Dans quel chaîne de magasins d'origine suédoise peut-on acheter des meubles en kit à assembler soi-même ?,Ikea
Éliminatoire,"Combien y a-t-il de ""N"" dans la locution adverbiale : ""Que nenni"" ?",Trois
Éliminatoire,"Quel rapace nocturne est également un synonyme de ""super"" ?",Chouette
Finale,"Quelle trilogie littéraire de science-fiction, dans laquelle des adolescents s'affrontent dans un jeu télévisé, a été publiée par Suzanne Collins ?",Hunger Games
Finale,"Quel arbre est représenté par l'espèce dite ""Salix babylonica"", dont les longs rameaux pendants prennent rapidement de l'ampleur ? ",Le saule pleureur
Finale,"Quelle artiste française, disparue en 2002, est connue pour ses sculptures monumentales et multicolores appelées ""Nanas"" ? ",Nikki de Saint Phalle
Finale,"Quel cours d'eau sert de frontière à la France et à l'Espagne sur quelques kilomètres, avant de se jeter dans le golfe de Gascogne ?",La Bidassoa
