category,order,question,answer
Finale,Loisirs et sports 1,"Dans quel programme TV humoristique retrouve-t-on les personnages de : Tata Suzanne, François le Français et Doudou ?",Le SAV des émissions ou Service Après-Vente des émissions
Finale,Loisirs et sports 2,"En 1991, à quelle occasion Yannick Noah enflamme-t-il le public lyonnais avec sa chanson ""Saga Africa"" ?",Victoire en coupe Davis
Finale,Loisirs et sports 3,"Sur un skateboard, comment s'appelle le revêtement qui empêche les pieds de glisser ?",Le grip
Finale,Pop culture 1,Quel symbole peut-on voir au centre du bouclier de Captain America ?,Une étoile
Finale,Pop culture 2,À quel roi du pop-art doit-on la banane qui illustre un célèbre album du groupe Velvet Underground ?,Andy Warhol
Finale,Pop culture 3,"Dans le dessin animé ""Les Chevaliers du zodiaque"", Seiya est le chevalier de la constellation de...",Pégase
Finale,Savoirs académiques 1,Quelle est la seule étoile du système solaire ?,Le soleil
Finale,Savoirs académiques 2,De quel roman de Stendhal Julien Sorel est-il le héros ?,Le Rouge et le Noir
Finale,Savoirs académiques 3,"À quel grand courant de la peinture appartient le tableau : ""Les Demoiselles d'Avignon"", de Pablo Picasso ?",Le cubisme
Finale,Vie quotidienne 1,Quelle est la principale vitamine que l'on trouve dans une orange fraîche ?,La vitamine C
Finale,Vie quotidienne 2,"Au cours de quel mois l'opération ""Pièces jaunes"" est-elle lancée chaque année ?",Janvier
Finale,Vie quotidienne 3,"Quel jus d'agrume est indispensable à la préparation du véritable cocktail ""margarita"" ?",Le jus de citron
Super Finale,Pop culture 1,,
Super Finale,Pop culture 1,,
Super Finale,Loisirs et sports 2,,
Super Finale,Loisirs et sports 2,,
Super Finale,Vie quotidienne 3,,
Super Finale,Vie quotidienne 3,,
Super Finale,Connaissance du monde 4,,
Super Finale,Connaissance du monde 4,,
Super Finale,Savoirs académiques 5,,
Super Finale,Savoirs académiques 5,,
Super Finale,Mort subite 1,,
Super Finale,Mort subite 2,,
Super Finale,Mort subite 3,,
Super Finale,Mort subite 4,,
Super Finale,Mort subite 5,,
Super Finale,Mort subite 6,,
Super Finale,Mort subite 7,,
Super Finale,Mort subite 8,,
Super Finale,Mort subite 9,,
Super Finale,Mort subite 10,,
