category,question,answer
Savoirs académiques,"Quel est l'élément principal, qui, ajouté au fer, permet d'obtenir de l'acier ?",Le carbone
Savoirs académiques,"En France, quel nom donne-t-on à l'emblème des médecins, composée d'une baguette autour de laquelle s'enroule le serpent d'Asclépios ?",Le caducée
Savoirs académiques,Quelle est le troisième planète la plus proche du Soleil ?,La Terre
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde?",Florence
Connaissance du monde,"À Paris, quel édifice de forme sphérique et miroitant, est situé dans le parc de la Villette ? ",La Géode
Connaissance du monde,Quel petit renard africain se sert de ses grandes oreilles pour résister au climent extrême des zones désertiques ?,Le fennec / Le renard des sables
Connaissance du monde,"Au 18ème siècle, quel pharmacien militaire vulgarisa en France la culture de la pomme de terre ?",Antoine Parmentier
Connaissance du monde,"Que sont Damoclès, Durandal et Excalibur ?",Des épées
Connaissance du monde,"Quel dieu hindou est considéré comme ""Le destructeur"" ?",Shiva
Connaissance du monde,Quel animal figure sur le drapeau du Pays de Galles ?,Un dragon
Connaissance du monde,Quel genre d'animal est la pipistrelle ?,Une chauve-souris
Connaissance du monde,Dans quel pays la porcelaine a-t-elle été inventée ?,La Chine
Connaissance du monde,"En Dordogne, quelle grotte de la commune de Montignac abrite des peintures pariétales remontant environ à 15 000 avant notre ère ?",La grotte de Lascaux
Connaissance du monde,"Quel plat italien est fait de fines tranches de viande crue, généralement servies comme entrée ?",Carpaccio
Connaissance du monde,Quelle créature mythologique est souvent décrite comme une femme avec le bas du corps d'un poisson?,Sirène
Éliminatoire,"Au poker, quelle est la plus forte de toutes les paires ?",Paire d'As
Éliminatoire,Quel acteur incarne au cinéma le personnage de Jack Sparrow ?,Johnny Depp
Éliminatoire,Dans quel pays se trouve la ville de Shanghai ?,La Chine
Finale,"Quelle trilogie littéraire de science-fiction, dans laquelle des adolescents s'affrontent dans un jeu télévisé, a été publiée par Suzanne Collins ?",Hunger Games
Finale,"Quel nom de couleur donne-t-on aux fromages de lait de vache, à pâte persillée ?",Bleu
Finale,"Quelle artiste française, disparue en 2002, est connue pour ses sculptures monumentales et multicolores appelées ""Nanas"" ?",Nikki de Saint Phalle
Finale,Dans quelle capitale européenne peut-on se promener sur Abbey Road ?,Londres
