category,order,question,answer
Manche 1,30,Quelle est l'avant-dernière voyelle de notre alphabet ?,U
Connaissance du monde,1,Quel nom portait l'épée magique du roi Arthur ?,Excalibur
Connaissance du monde,2,Quel nom donne-t-on aux habitants de la Nouvelle-Zélande ?,Les Néo-Zélandais
Connaissance du monde,3,Sur quelle île d'Italie se trouve la ville de Catane ?,La Sicile
Connaissance du monde,4,"Quel nom désigne à la fois l'arbuste à baies noires, proche du groseillier, et le contraire d'un dos d'âne ?",Le cassis
Connaissance du monde,5,"Avec l’ivoire, quelle matière compose une statue chryséléphantine ?",L'or
Connaissance du monde,1,Quel nom désigne les bidonvilles brésiliens ?,Une favela
Connaissance du monde,2,Avec quel État la Corée du Sud a-t-elle une frontière terrestre au nord ?,La Corée du Nord
Connaissance du monde,3,Quelle ville est le chef-lieu du département de la Côte-d'Or ?,Dijon
Connaissance du monde,4,"En quelle année a été signé le traité de Maastricht, créant ainsi l'Union européenne ?",1992
Connaissance du monde,5,"En médecine, qu’est-ce que la naupathie ?",Le mal de mer
Connaissance du monde,Départage,"Combien de pattes possède le griffon, animal fabuleux à tête d'aigle ?",4
Connaissance du monde,Départage,Quel type de pont est caractérisé par son tablier qui se lève et se baisse pour ouvrir ou fermer l'entrée d'un château-fort ?,Un pont-levis
Loisirs et sports,1,"Au tennis, quel est le seul tournoi du Grand Chelem à se dérouler sur gazon ?",Wimbledon
Loisirs et sports,2,"Quelle série de jeux vidéos, se déroulant dans le royaume d'Hyrule, met en scène le personnage de Link ?",Zelda
Loisirs et sports,3,Dans quel sport mécanique s'illustrait le champion italien Valentino Rossi ?,La moto ou moto GP
Loisirs et sports,4,Quelle icône de la mode est la rédactrice en chef de l'édition américaine du magazine Vogue depuis 1988 ?,Anna Wintour
Loisirs et sports,5,Quel est le dernier coureur cycliste français à avoir remporté le Tour de France ?,Bernard Hinault
Loisirs et sports,1,"À skis, quel freinage consiste à écarter les talons en rapprochant l'avant des spatules ?",Le chasse-neige
Loisirs et sports,2,Quel est le nom de l’héroïne emblématique de la saga de jeux vidéos Tomb Raider ?,Lara Croft
Loisirs et sports,3,Quel “Dominique” est connu pour être le présentateur de l'émission “Turbo” sur M6 depuis plus de 35 ans ?,Dominique Chapatte
Loisirs et sports,4,"Quel handballeur, natif de la Réunion, a été élu meilleur joueur du monde en 1995 ?",Jackson Richardson
Loisirs et sports,5,"Au football, combien de fois le Real Madrid a-t-il remporté la Ligue des Champions ?",15
Loisirs et sports,Départage,"Aux Jeux olympiques, avec la corde, le cerceau, les massues et le ballon, quel est le cinquième engin de la gymnastique rythmique ?",Le ruban
Loisirs et sports,Départage,Quel athlète jamaïcain détient les records du monde du 100 mètres et du 200 mètres ?,Usain Bolt
Pop culture,1,"En 1979, quel chanteur rencontra le succès avec : ""Je l'aime à mourir"" ?",Francis Cabrel
Pop culture,2,"En 2008, quel film retrace les fabuleuses aventures d'un indien malchanceux devenant riche grâce à un jeu télévisé ?",Slumdog Millionaire
Pop culture,3,"Dans les années 1970, à quel chanteur de soul américain doit-on les tubes : ""Isn't She Lovely"" et ""Superstition ?",Stevie Wonder (ou Steveland Judkins-Morris)
Pop culture,4,"Dans la bande dessinée Tintin, à quel pirate cruel associe-t-on le trésor de la Licorne ?",Rackham Le Rouge
Pop culture,5,Quel journaliste et animateur de télévision apprend à jouer aux jeux vidéos sur Twitch depuis 2023 ?,Samuel Étienne
Pop culture,1,Quel film des Inconnus remporte le “César de la Meilleure Première Oeuvre” devenu aujourd'hui “Meilleur premier film” ?,Les Trois Frères
Pop culture,2,"À quel artiste jamaïquain doit-on la chanson ""I Shot The Sheriff"" ?",Bob Marley
Pop culture,3,Quel lapin hystérique est marié à la sublime Jessica dans un film d'animation sorti en 1988 ?,Roger Rabbit
Pop culture,4,"Quelle chanteuse Noire américaine obtient un grand succès en 1985 avec ""We Don't Need Another Hero"" ?",Tina Turner
Pop culture,5,En quelle année avant Jésus Christ les aventures d'Astérix débutent-elles ?,50 (avant J.C.)
Pop culture,Départage,"Quel humoriste français a réalisé le film intitulé ""Fatal"", sorti en 2010 ?",Michaël Youn
Pop culture,Départage,"Dans la saga Harry Potter, comment s’appelle la chouette du jeune sorcier ?",Hedwige
Savoirs académiques,1,Quel nom porte le côté d'un triangle rectangle opposé à l'angle droit ?,Hypoténuse
Savoirs académiques,2,Dans quelle ville française s'est déroulée la révolte des Canuts en 1831 ?,Lyon
Savoirs académiques,3,"Quel peintre français, auteur du ""Repas du lion"" en 1907, est l'un des artistes emblématiques de l'art naïf ?",Le Douanier Rousseau ou Henri Rousseau
Savoirs académiques,4,Quelle unité de mesure correspond à la fréquence d'un événement qui se répète une fois par seconde ?,Le hertz
Savoirs académiques,5,"Qui est l'auteur de la comédie Le jeu de l'amour et du hasard, créée à Paris en 1730 ?",Marivaux
Savoirs académiques,1,"Dans la mythologie grecque, comment se prénomme le chien polycéphale qui garde l'entrée des Enfers ?",Cerbère
Savoirs académiques,2,"Quel chimiste du 18ème siècle aurait déclaré : « rien ne se perd, rien ne se crée, tout se transforme » ?",Antoine de Lavoisier
Savoirs académiques,3,Quel philosophe grec a la réputation d'avoir vécu dans un tonneau ?,Diogène ou Diogène le Cynique
Savoirs académiques,4,Quelle femme de lettres était la muse de Louis Aragon ?,Elsa Triolet
Savoirs académiques,5,"Quel sociologue français, disparu en 2002, est l'auteur des héritiers et de La distinction ?",Pierre Bourdieu
Savoirs académiques,Départage,En quelle année le mur de Berlin est-il tombé ?,1989
Savoirs académiques,Départage,"Quel squelette appartenant à la lignée humaine a été découvert en 1974 sur le site de Hadar, en Éthiopie ?",Lucy (australopithèque)
Vie quotidienne,1,"Dans le domaine de la santé, que signifie le “P” du sigle C.P.A.M. ?",Primaire
Vie quotidienne,2,Comment écrit-on 2025 en chiffre romain ?,MMXXV
Vie quotidienne,3,"Quelle est la substance active qui compose le Doliprane, le Dafalgan et Efferalgan ?",Le paracétamol
Vie quotidienne,4,"En cuisine, quel verbe désigne l'action de dissoudre les sucs de cuisson à l'aide d'un liquide, pour obtenir une sauce ?",Déglacer
Vie quotidienne,5,"Quelle plante cultivée pour sa racine, dont le nom vient du suédois, est voisine du navet et est appelée : ""chou de Siam"" ?",Le rutabaga
Vie quotidienne,1,"Dans la comptine ""Ah ! les crocodiles"", sur les bords de quel fleuve les crocodiles sont-ils partis ?",Le Nil
Vie quotidienne,2,"Dans le premier couplet de La Marseillaise, quelle est la seule phrase à faire l'objet d'un bis ?",L'étendard sanglant est levé !
Vie quotidienne,3,"En botanique, comment s'appelle l'enveloppe du marron et de la châtaigne, qui est recouverte de piquants ?",La bogue
Vie quotidienne,4,Comment s'appelait le chanoine de Dijon dont le nom est resté attaché à une boisson ?,Le chanoine Kir
Vie quotidienne,5,"Quelle plante vivace est une variété proche du thym, ce qui lui vaut le surnom “d'origan des jardins” ?",La marjolaine
Vie quotidienne,Départage,"Dans quel apéritif à base de vin rouge additionné de sucre, fait-on macérer des fruits de saison coupés en morceaux ?",La sangria
Vie quotidienne,Départage,"Comment appelle-t-on l'alphabet conventionnel en relief, à l'usage des non-voyants ?",Le braille
Éliminatoire,1,Sur quelle île de l'océan Indien se trouvent le piton des Neiges et le piton de la Fournaise ?,La Réunion
Éliminatoire,2,"Au Moyen-Âge, comment appelait-on cette coutume qui consistait en un chahut organisé le soir des noces, aux veuves qui se remarient ?",Le charivari
Éliminatoire,3,"Selon l'expression, lorsque l'on vit de façon excessive, que ""brûle-t-on par les deux bouts"" ?",La chandelle
Éliminatoire,4,Dans quel jeu de société un meurtre peut-il être commis par le colonel Moutarde dans la salle à manger ?,Le Cluedo
Finale,Connaissance du monde 1,"Quelle unité de mesure de masse de 0,2 gramme est utilisée dans le commerce des diamants ?",Le carat
Finale,Connaissance du monde 2,"En France, quel nom est donné au siège du président du Sénat ?",Le plateau
Finale,Loisirs et sports 1,"Présenté aux USA en 1968, quel dispositif de pointage sur écran qui deviendra ensuite indispensable à l'utilisation des ordinateurs ?",La souris
Finale,Loisirs et sports 2,Comment appelle-t-on un amateur de course de taureaux ?,Un aficionado
Finale,Pop culture 1,"Quel groupe pop-rock a fait un tube avec le titre ""Roxanne"" à la fin des années 70 ?",The Police
Finale,Pop culture 2,"Quel est le nom de l'américaine, prénommée Patti qui, avec son groupe, a fait un tube en 1975 en chantant ""Lady Marmalade"" ?",LaBelle
Finale,Savoirs académiques 1,"Dans quel film Yves Montand susurre-t-il à Louis de Funès : “Il est l'or, l'or de se réveiller, mon seignor, il est huit or...” ?",La Folie des grandeurs
Finale,Savoirs académiques 2,"Combien de livres composent ""A la recherche du temps perdu"" de Proust ?",7
Finale,Vie quotidienne 1,"Quel est le participe présent du verbe ""vaincre"" ?",Vainquant
Finale,Vie quotidienne 2,"À quel grand peintre abstrait, la firme Renault a-t-elle fait appel en 1972 afin de rajeunir son logo ?",Victor Vasarely
