category,question,answer
Pop culture,"A Grenade, quel nom porte la résidence des anciens princes arabes, célèbre pour ses jardins ?",L'Alhambra
Pop culture,"A Hollywood, par quel symbole les célébrités sont-elles représentées sur le sol du Walk Of Fame ?",Des étoiles
Pop culture,"A l'âge de 25 ans, quelle sainte peut-on coiffer quand on est encore célibataire ?",Catherine
Connaissance du monde,A l'aide de quel animal Cléopâtre s'est-elle donné la mort ?,Un serpent ou un aspic
Pop culture,"À l'arrière d'un deux-roues, sur le porte-bagage, on peut trouver une mallette appelée ""top...",Case
Pop culture,À l'autorité de quelle personnalité se soumet un papiste ?,Le pape
Pop culture,"À l'école, quelle couleur associe-t-on couramment au tableau des salles de classe sur lequel on écrit ?",Le noir
Pop culture,À l'effigie de quel roi les premiers louis d'or sont-ils frappés ?,Louis XIII
Connaissance du monde,A l'embouchure de quel fleuve la ville de Lisbonne se situe-t-elle ?,Le Tage
Connaissance du monde,À l'embouchure de quel fleuve se situe la ville du Touquet-Paris-Plage ?,La Canche
Connaissance du monde,A l'entrée de quel canal se situe la ville égyptienne de Port-Saïd ?,Le canal de Suez
Pop culture,"A l'époque de la Renaissance, quel roi de France avait pour emblême la salamandre ?",Francois Ier
Connaissance du monde,"A l'époque gallo-romaine, quelle ville française était appelée : Tolosa ?",Toulouse
Connaissance du monde,"A l'état sauvage, sur quel continent vit l'espèce d'éléphant aux plus petites oreilles ?",En Asie
Connaissance du monde,"A l'état sauvage, sur quel continent vivent les coyotes ?",En Amérique
Connaissance du monde,"A l'exception de polyglotte, comment qualifie-t-on une personne qui parle parfaitement deux langues ?",Bilingue
Pop culture,"A l'infinitif, combien y a-t-il de ""L"" dans le verbe ""appeler"" ?",1
Pop culture,"A l'initiative de quel homme politique français l'émission ""Jeux sans frontières"" a-t-elle vu le jour, en 1965 ?",Charles de Gaulle ou le général de Gaulle
Pop culture,À l'initiative de quel imprimeur italien le caractère d'imprimerie italique a-t-il été adopté ?,Alde Manuce
Savoirs académiques,"À l'intérieur d'un théâtre, quel mot de 4 lettres désigne le côté qui s'oppose à jardin ?",Cour
Pop culture,"A l'issue de la finale simple dames de Roland-Garros 2010, quelle championne de tennis a remis la coupe Suzanne Lenglen à Francesca Schiavone ?",Mary Pierce
Pop culture,"A l'occasion du festival de Cannes 1995, avec quelle actrice Vanessa Paradis a-t-elle chanté ""Le Tourbillon"" ?",Jeanne Moreau
Pop culture,"A l'oreille de quels animaux, un éthologue équin chuchote-t-il ?",Les chevaux
Pop culture,"A l'origine, combien de jours durait une quarantaine, la mesure d'isolement imposée aux voyageurs et aux navires, en provenance d'une zone épidémique ?",40
Pop culture,"A l'origine, dans quel pays les supporters sont-ils appelés les ""tifosi"" ?",L'Italie
Connaissance du monde,"A l'origine, de quel pays vient le fromage appelé ""édam"" ?",Les Pays-Bas
Connaissance du monde,"A l'origine, quelle ville française produisait la toile denim, servant à confectionner les jeans ?",Nîmes
Pop culture,"A l'université, combien de semestres faut-il valider pour obtenir une licence ?",6
Pop culture,"A la base, combien de canines comporte la dentition d'un humain adulte ?",4
Connaissance du monde,"A la belote, un jeu de cartes se compose de trèfles, de piques, de coeurs et de...",Carreaux
Pop culture,"À la chasse, comment appelle-t-on l'action de battre les bois et les taillis afin d'en faire sortir le gibier ?",La battue
Vie quotidienne,"À la cuisine, quel ustensile conique, terminé par un tube, sert à transvaser un liquide dans une bouteille ?",Un entonnoir
Pop culture,"A la fin de quel film des Monty Python, des crucifiés chantent-ils en choeur ?",La Vie de Brian
Pop culture,A la fin de quelle classe passe-t-on le bac de français en filière générale ?,En première
Pop culture,"À la fin des années 1970, quel peintre américain a réalisé les tags signés “SAMO”, sur les murs de New York ?",Jean-Michel Basquiat
Pop culture,"A la fin des années 1980, au sein de quel trio comique devenu célèbre a-t-on pu découvrir Didier Bourdon ?",Les Inconnus
Pop culture,"A la fin des années 60, Christian Barbier conduisait une péniche dans la série télévisée ""L'Homme du...",Picardie
Pop culture,"A la fin des années 70, à quel groupe britannique doit-on le tube ""Sultans of Swing"" ?",Dire Straits
Pop culture,"À la fin des années 70, quel acteur a fait un tube en interprétant en duo avec Olivia Newton-John le titre : ""Summer Nights"" ?",John Travolta
Pop culture,"A la fin du film de 1968 ""La Planète des singes"", quel monument enfoncé dans le sable le héros découvre-t-il ?",La statue de la Liberté ou La Liberté éclairant le monde
Savoirs académiques,"A la fin du roman “Les Liaisons dangereuses”, quelle femme est frappée de petite vérole ?",Mme de Merteuil ou la marquise de Merteuil
Pop culture,"A la fin du XVe siècle, de quelle déesse Sandro Botticelli a-t-il peint ""La Naissance"" ?",Vénus
Pop culture,"À la fin du XVIIe siècle, quel château français a servi de modèle à la construction du château de Schönbrunn, en Autriche ?",Versailles
Pop culture,"A la fois bonbon fait d'une amande enrobée de sucre caramélisé et surnom d'une balle d'arme à feu, que suis-je ?",Une praline
Pop culture,"A la fois globe de verre d'une lampe et cloque à la surface de la peau due à un frottement, que suis-je ?",Une ampoule
Pop culture,"A la fois grand vase en porcelaine doté d'un couvercle, et personne reléguée à une fonction décorative sans réel pouvoir, que suis-je ?",Une potiche
Pop culture,"A la fois lieu où une eau souterraine jaillit à la surface et origine d'une information, que suis-je ?",Une source
Connaissance du monde,"A la fois musée et école d'art, dans quelle ville de l'Illinois fut fondé l'Art Institute, en 1879 ?",Chicago
Pop culture,"À la fois oiseau migrateur de la taille d'une bécasse et bruit rauque de respiration que font les personnes mourantes, que suis-je ?",Le râle
Savoirs académiques,"A la fois partie charnue du bout du doigt, tissu conjonctif de l'intérieur d'une dent ou chair d'un fruit, que suis-je ?",La pulpe
Connaissance du monde,"A la fois poisson capable de produire des décharges électriques et engin de guerre sous-marin chargé d'explosifs, que suis-je",Une torpille 157
Savoirs académiques,"A la fois un élément de salle de bains et une loge située au rez-de-chaussée d'un théâtre, que suis-je ?",Baignoire
Pop culture,"À la fois un quadrilatère, une coupe de cheveux et une combinaison au poker, que suis-je ?",Le carré
Pop culture,"A la fois une chemise en tricot à col ouvert et un sport collectif se jouant à cheval avec un maillet, que suis-je ?",Le polo
Pop culture,"A la fois vent froid et baiser sur la joue, que suis-je ?",La bise
Vie quotidienne,"À la gloire de quelle déesse grecque a-t-on édifié le temple d'Éphèse, l'une des Sept Merveilles du monde ?",Artémis
Vie quotidienne,"A la maison, quel objet est familièrement appelé la ""zappette"" ?",La télécommande
Pop culture,"A la mort de Louis XIV, quel âge Louis XV avait-il ?",5 ans
Pop culture,"A la pétanque, comment appelle-t-on une équipe composée de trois joueurs ?",Une triplette
Pop culture,"À la pétanque, quel verbe, opposé à ""pointer"", désigne le fait de lancer sa boule avec force pour qu'elle aille frapper une boule adverse ?",Tirer
Pop culture,"A la piscine, quel est le nom du bac que doivent traverser les baigneurs et qui signifie littéralement : ""bain de pied"" ?",Le pédiluve
Pop culture,"À la plage, quelle pièce de tissu d'inspiration tahitienne peut-on nouer par-dessus son maillot de bain ?",Le paréo
Pop culture,"A la poste, que signifie le sigle A.R., lors de l'envoi d'une lettre recommandée ?",Accusé de réception ou Avis de réception
Connaissance du monde,"A la présidence de quel pays, Raúl a-t-il officiellement succédé à son frère Fidel, le 24 février 2008 ?",Cuba
Pop culture,"A la télévision française, qu'y a-t-il d'écrit sur la case noire de ""La Roue de la fortune"" ?",Banqueroute
Connaissance du monde,"A la télévision, dans ""Les Rues"" de quelle ville Michael Douglas traque-t-il les criminels, en 1972 ?",San Francisco
Pop culture,"A la télévision, que signifie le sigle T.N.T. ?",Télévision Numérique Terrestre
Pop culture,"A la télévision, quel comédien incarna le commissaire Maigret de 1991 à 2005 ?",Bruno Crémer
Pop culture,"A la télévision, quel comique britannique à l'humour potache tapotait le crâne chauve d'un papy joué par Jackie Wright",Benny Hill ou Alfred Hawthorn Hill
Pop culture,"À la télévision, quel policier s'exclame à tout bout de champ : “Quand j'vais dire ça à ma femme !” ?",Columbo
Connaissance du monde,"A la tête du Néo-Destour, pour l'indépendance de quel pays Habib Bourguiba a-t-il milité ?",La Tunisie
Savoirs académiques,À la vie de quel personnage religieux Hermann Hesse s'attache-t-il dans “Siddhartha” ?,Bouddha
Pop culture,"A la ville, comment se prénomme le chanteur Sanseverino ?",Stéphane
Connaissance du monde,"À Londres, dans quelle abbaye, fondée au XIe siècle, presque tous les rois d'Angleterre ont-ils été couronnés ?",Westminster
Pop culture,"À Londres, quel véhicule emprunte-t-on lorsqu'on saute dans un ""cab"" ?",Un taxi
Savoirs académiques,"A Lyon, elles sont au nombre de 3 sous les noms Lyon Perrache, Lyon Part-Dieu et Lyon Saint-Exupéry. Que sontelles ?",Des gares
Pop culture,"A Lyon, la spécialité culinaire à base de gras-double est connue sous le nom de ""tablier de...",Sapeur
Pop culture,"A Lyon, quel mot régional synonyme de ""gamin"" a donné son nom à l'équipe locale de football américain ?",Gone ou Les Gones
Pop culture,"À Madrid, au cours de quel siècle le musée du Prado a-t-il été ouvert au public ?",Le 19e siècle
Connaissance du monde,"À marée basse, quelle île est reliée au continent grâce au passage du Gois ?",Noirmoutiers
Savoirs académiques,"À Marseille, quel musée d'art contemporain occupe l'hôtel de Montgrand ?",Le musée Cantini
Pop culture,"À Menton, près de Nice, quel agrume est fêté chaque année depuis 1934 ?",Le citron
Pop culture,"À New York, quel parc rectangulaire s'étend au cœur de Manhattan entre la 59e Rue au sud et la 110e Rue au nord ?",Central Park
Pop culture,"A New York, quelle célèbre avenue est au centre de la création théâtrale ?",Broadway
Savoirs académiques,"A Paris en particulier, on appelait autrefois le quartier des gueux et des mendiants la ""cour des...",Miracles
Connaissance du monde,"A Paris, aux arts de quel continent le musée Guimet est-il consacré ?",L'Asie
Savoirs académiques,"A Paris, combien d'avenues partent de la place de l'Étoile, rebaptisée place Charles-de-Gaulle en 1970 ?",12
Pop culture,"A Paris, dans quel palais le Conseil des ministres se réunit-il en général ?",Le palais de l'Élysée
Pop culture,"A Paris, le président de la République française vit au palais de...",L'Élysée
Pop culture,"A Paris, quel est le nom de l'ancienne place de Grève, qui descend doucement vers la Seine ?",La place de l'Hôtel-de-Ville
Savoirs académiques,"A Paris, quel établissement d'enseignement supérieur et de recherche fut fondé par François Ier, en 1530 ?",Le Collège de France
Connaissance du monde,"A Paris, quel fleuve communique avec le canal de l'Ourcq ?",La Seine
Vie quotidienne,"A Paris, quel haut lieu de la finance est familièrement appelé ""Le Palais Brongniart"" ?",La Bourse
Pop culture,"A Paris, quel moyen de transport a été inauguré le 16 décembre 2006 ?",Le tramway / le tram
Pop culture,"A Paris, quel nom portait la place des Vosges au XVIIe siècle ?",Place Royale
Connaissance du monde,"À Paris, quelle ancienne forteresse bâtie par Philippe Auguste, devenue résidence royale au XIVe siècle, a été transformée en musée national en 1793 ?",Le Louvre
Pop culture,"A Paris, quelle institution fabrique les pièces de monnaie courante de la République française ?",La Monnaie de Paris ou l'hôtel de la Monnaie
Savoirs académiques,"A partir de 1190, sous le règne de quel roi français, la construction du château médiéval du Louvre a-t-elle débuté ?",Philippe Auguste ou Philippe II Auguste
Vie quotidienne,"À partir de 1519, quel château François Ier fait-il construire sur l'emplacement d'une maison de chasse ?",Chambord
Connaissance du monde,"A partir de 1541, dans quelle ville Jean Calvin s'est-il employé à organiser le protestantisme ?",Genève
Connaissance du monde,"A partir de 1860, combien la ville de Paris compte-t-elle d'arrondissements ?",20
Savoirs académiques,"A partir de 1892, de quelle cathédrale normande Claude Monet a-t-il peint 28 vues ?",La cathédrale de Rouen
Savoirs académiques,"A partir de 1913, quel artiste français réalise des “ready-mades”, objets usuels promus au rang d'oeuvres d'art ?",Marcel Duchamp
Savoirs académiques,"A partir de 1954, qui a dirigé l'Olympia pendant 25 ans ?",Bruno Coquatrix
Savoirs académiques,"A partir de 1963, dans le programme télévisé ""Bonne nuit les petits"", quelle fillette attend le marchand de sable aux côtés de Nicolas ?",Pimprenelle
Savoirs académiques,"A partir de 1964, quelle artiste réalise les Nanas, des sculptures de femmes opulentes et colorées ?",Niki de Saint-Phalle
Pop culture,"A partir de 1967, quelle émission de télévision Pierre Tchernia présente-t-il ?",Monsieur Cinéma
Savoirs académiques,"À partir de 1973, quel animateur prénommé Bernard présente ""La Une est à vous"" sur la 1e chaîne française ?",Bernard Golay
Savoirs académiques,"A partir de 1981, quel dessinateur et scénariste adapte le personnage de Nestor Burma en bande dessinée ?",Jacques Tardi
Savoirs académiques,"A partir de 1987, quelle blonde à queue-de-cheval anima un fameux club avec Ariane, Patrick, Jacky et Corbier ?",Dorothée
Savoirs académiques,A partir de quel âge devient-on un octogénaire ?,80 ans
Savoirs académiques,À partir de quel âge devient-on un quadra ?,40 ans
Savoirs académiques,A partir de quel âge devient-on un septuagénaire ?,70 ans
Connaissance du monde,A partir de quel animal fabrique-t-on de la viande des Grisons ?,Le boeuf
Savoirs académiques,A partir de quel fruit est obtenue la liqueur appelée : marasquin ?,La cerise ou La cerise de variété marasque
Savoirs académiques,"À partir de quel fruit, l'armagnac est-il préparé ?",Le raisin
Savoirs académiques,A partir de quel taux d'alcool est-il interdit de prendre le volant ?,"0,5 g/l"
Pop culture,"A partir de quelle année, le golf et le rugby à VII vont-ils faire leur entrée au programme des Jeux olympiques ?",2016
Savoirs académiques,A partir de quelle céréale le bourbon est-il principalement distillé ?,Le maïs
Savoirs académiques,À partir de quelle céréale sont fabriqués les corn flakes ?,Le maïs
Savoirs académiques,À partir de quelle plante légumineuse prépare-t-on le tofu ?,Le soja
Savoirs académiques,A partir de quels fruits obtient-on des pruneaux ?,Les prunes
Connaissance du monde,A partir du lait de quel animal est fabriqué le chabichou ?,La chèvre
Connaissance du monde,A partir du lait de quel animal fabrique-t-on l'odorant maroilles ?,La vache
Connaissance du monde,À partir du lait de quel animal fabrique-t-on le brie de Meaux ?,La vache
Connaissance du monde,A partir du lait de quel animal fabrique-t-on le cabécou du Périgord ?,Lait de chèvre
Connaissance du monde,A partir du lait de quel animal fabrique-t-on le camembert ?,La vache
Connaissance du monde,A partir du lait de quel animal le brie de Meaux est-il fabriqué ?,De vache
Connaissance du monde,"A partir du lait de quel animal le fromage appelé ""chester"" est-il fabriqué ?",La vache
Connaissance du monde,À partir du lait de quel animal le roquefort est-il fabriqué ?,La brebis
Connaissance du monde,A partir du lait de quel animal produit-on le gorgonzola ?,La vache
Pop culture,"A quel ""oiseau à la grise robe"" est dédié le poème de Benoît Poelvoorde, dans le film ""C'est arrivé près de chez vous""",Le pigeon
Pop culture,A quel acteur et humoriste Mélissa Theuriau est-elle mariée ?,Jamel Debbouze
Pop culture,"À quel âge Eugénie Blanchard est-elle devenue la nouvelle doyenne de l'humanité, en mai 2010 ?",114 ans
Pop culture,"À quel alcaloïde du tabac, huileux, incolore et excitant du système neurovégétatif, Jean Nicot a-t-il donné son nom ?",La nicotine
Savoirs académiques,"A quel alphabet appartient la lettre ""dalet"" correspondant à notre ""d"" ?",L'alphabet hébreu
Pop culture,"A quel alphabet saint Cyrille, évangélisateur des Slaves, a-t-il donné son nom ?",L'alphabet cyrillique
Pop culture,"A quel ancien leader du groupe Téléphone doit-on le titre ""Juste une illusion"", en 1986 ?",Jean-Louis Aubert
Pop culture,"À quel ancien membre du groupe de rap Saïan Supa Crew doit-on le titre ""Dans ma rue"" en 2009 ?",Féfé
Pop culture,"À quel ancien sportif, aujourd'hui chanteur, doit-on le single ""Angela"" en 2010 ?",Yannick Noah
Pop culture,"À quel ancien surfeur devenu chanteur doit-on l'album ""To The Sea"" en 2010 ?",Jack Johnson
Connaissance du monde,"A quel animal fait référence l'abréviation familière ""pap"", quand on parle d'un noeud ?",Le papillon
Connaissance du monde,"A quel animal fait-on référence, lorsqu'on parle d'un pur-sang ?",Le cheval
Connaissance du monde,"A quel animal l'adjectif ""hippique"" se rapporte-t-il ?",Le cheval
Connaissance du monde,A quel animal l'État du Cameroun doit-il son nom ?,La crevette
Connaissance du monde,"A quel animal se rapporte l'adjectif ""léonin"" ?",Le lion
Connaissance du monde,A quel animal se rapporte l'adjectif aquilin ?,L'aigle
Savoirs académiques,"A quel archipel appartiennent les îles de Tenerife, Gomera et Lanzarote ?",Les îles Canaries
Connaissance du monde,À quel archipel de l'océan Indien appartiennent les îles autrefois appelées Anjouan et Mohéli ?,Les Comores
Savoirs académiques,À quel archipel grec appartiennent les îles Naxos et Paros ?,Les Cyclades
Savoirs académiques,"A quel archipel les îles Praslin, Silhouette et La Digue appartiennent-elles ?",Les Seychelles
Savoirs académiques,"A quel archipel méditerranéen, province de l'Espagne, appartiennent les îles de Majorque, Minorque et Ibiza ?",Les Baléares
Connaissance du monde,À quel architecte doit-on les bâtiments officiels de la ville de Brasilia ?,Oscar Niemeyer
Connaissance du monde,"A quel architecte paysagiste, prénommé André, doit-on la création des jardins de Vaux-le-Vicomte ?",Le Nôtre
Pop culture,A quel architecte prénommé Charles doit-on l'Opéra Garnier ?,Garnier
Vie quotidienne,À quel art associe-t-on le journaliste Henri Langlois ?,Le cinéma
Pop culture,"À quel artiste doit-on l'album ""Thriller"" ?",Michael Jackson
Savoirs académiques,À quel artiste doit-on la sculpture surréaliste “Vénus de Milo aux tiroirs” ?,Salvador Dali
Savoirs académiques,"A quel artiste français doit-on les chansons ""La Bohème"" et ""Je m'voyais déjà"" dans les années 1960 ?",Charles Aznavour
Savoirs académiques,"À quel artiste italien doit-on la statue colossale de “David”, exposée à l'Académie de Florence ?",Michel-Ange
Savoirs académiques,"À quel artiste jamaïquain doit-on la chanson ""I Shot The Sheriff"" ?",Bob Marley
Savoirs académiques,"À quel artiste originaire de Saint-Étienne doit-on la chanson ""Noir et Blanc"" en 1986 ?",Bernard Lavilliers
Pop culture,A quel astre s'expose-t-on pour avoir une peau hâlée ?,Au Soleil
Pop culture,"A quel astre se rapporte l'adjectif ""sélène"" ?",La Lune
Savoirs académiques,"A quel auteur à suspense américain doit-on les romans ""Juste un regard"" en 2005 et ""Sans un mot"" en 2009 ?",Harlan Coben
Pop culture,À quel auteur allemand doit-on “L'Honneur perdu de Katharina Blum” ?,Heinrich Böll
Pop culture,"À quel auteur américain doit-on ""La Trilogie new-yorkaise"" et ""Léviathan"" ?",Paul Auster
Pop culture,À quel auteur américain doit-on la bande dessinée “Fritz The Cat” ?,Robert Crumb
Savoirs académiques,"A quel auteur américain doit-on les romans ""A La Poursuite du bonheur"" et ""L'Homme qui voulait vivre sa vie"" ?",Douglas Kennedy
Pop culture,"A quel auteur autrichien doit-on ""Vingt-quatre heures de la vie d'une femme"" et ""Le Joueur d'échecs"" ?",Stefan Zweig
Savoirs académiques,"À quel auteur brésilien doit-on le roman ""L'Alchimiste"" ?",Paulo Coelho
Pop culture,"A quel auteur britannique doit-on ""Le Livre de la jungle"", en 1894 ?",Rudyard Kipling
Savoirs académiques,"A quel auteur britannique doit-on le roman ""David Copperfield"", publié au milieu du XIXe siècle ?",Charles Dickens
Pop culture,"A quel auteur de BD français doit-on l'album intitulé ""32 décembre"", deuxième tome de sa ""Tétralogie du monstre"" ?",Enki Bilal
Savoirs académiques,À quel auteur de romans policiers doit-on “Pas d'orchidées pour miss Blandish” ?,James Hadley Chase
Pop culture,"À quel auteur doit-on ""Extension du domaine de la lutte"" ?",Michel Houellebecq
Pop culture,À quel auteur doit-on “Le Crime de l'Orient-Express” ?,Agatha Christie
Pop culture,À quel auteur doit-on “Les Chouans” ?,Honoré de Balzac
Pop culture,"A quel auteur doit-on les fables : ""Le Renard et la Cigogne"" et ""Le Lièvre et la Tortue"" ?",Jean de la Fontaine
Savoirs académiques,"A quel auteur doit-on les romans ""India song"" et ""Un Barrage contre le Pacifique"" ?",Marguerite Duras
Pop culture,À quel auteur dramatique doit-on la pièce “Un fil à la patte” ?,Georges Feydeau
Connaissance du monde,"À quel auteur dramatique doit-on le vaudeville “La Cagnotte”, en 1864 ?",Eugène Labiche
Pop culture,"A quel auteur dramatique français doit-on la pièce ""Le roi se meurt"", en 1962 ?",Eugène Ionesco
Savoirs académiques,A quel auteur français doit-on le roman “L'Atlantide” ?,Pierre Benoit
Pop culture,"A quel auteur français du XIXe siècle, prénommé Prosper, attribue-t-on une dictée extrêmement difficile ?",Mérimée
Pop culture,"A quel auteur latin doit-on le poème en douze chants intitulé : ""Enéide"" ?",Virgile
Pop culture,A quel auteur surréaliste doit-on l'essai intitulé “Anthologie de l'humour noir” en 1940 ?,André Breton
Pop culture,"A quel ballon, permettant de s'élever dans les airs, les frères de Montgolfier ont-ils donné leur nom ?",La montgolfière
Pop culture,"A quel boys band français des années 1990 doit-on la chanson : ""Aucune fille au monde"" ?",G-Squad
Pop culture,"A quel célèbre dramaturge français du 17e siècle doit-on les tragédies ""Bérénice"" et ""Phèdre"" ?",Jean Racine
Savoirs académiques,"A quel célèbre écrivain doit-on le roman ""L'Arrache-cœur"" ?",Boris Vian
Pop culture,A quel célèbre illusionniste attribue-t-on une liaison avec Claudia Schiffer ?,David Copperfield
Pop culture,À quel chant de Noël français correspond le “O Tannenbaum” allemand ?,Mon Beau Sapin
Pop culture,"A quel chanteur américain doit-on le tube ""My Life"", enregistré en 1978 ?",Billy Joel ou William Martin Joel
Pop culture,"A quel chanteur américain doit-on les tubes ""Purple Rain"" et ""Kiss"" ?",Prince
Pop culture,"A quel chanteur américain doit-on, dans les années 50, les tubes : ""Love Is A Many Splendored Thing"" et ""Ask Me"" ?","Nat ""King"" Cole"
Pop culture,"A quel chanteur belge doit-on la chanson ""Les Yeux de ma mère"", sortie en 1995 ?",Arno ou Arno Hintjens
Pop culture,"A quel chanteur britannique au chapeau doit-on le tube ""Like A Hobo"" ?",Charlie Winston
Pop culture,"A quel chanteur britannique doit-on l'album culte ""Faith"" sorti en 1987 ?",George Michael
Pop culture,"A quel chanteur britannique doit-on les tubes : ""Against All Odds"" et ""Sussudio"" dans les années 1980 ?",Phil Collins
Pop culture,"A quel chanteur britannique doit-on les tubes : ""Millennium "" et ""Strong"" ?",Robbie Williams
Pop culture,"A quel chanteur britannique doit-on les tubes des années 80 : ""Ashes to Ashes"" et ""Fashion"" ?",David Bowie
Pop culture,"À quel chanteur de charme doit-on le titre ""Pauvres Diables"" ?",Julio Iglesias
Pop culture,"A quel chanteur de country américain, doit-on les tubes : ""I Walk The Line"" et ""Ring Of Fire"" ?",Johnny Cash
Pop culture,A quel chanteur doit-on “L'Été indien” en 1975 ?,Joe Dassin
Pop culture,À quel chanteur doit-on “Mona Lisa Klaxon” en 1974 ?,Jacques Higelin
Pop culture,"A quel chanteur doit-on le tube ""Aimons-nous vivants"" en 1989 ?",François Valéry
Pop culture,"A quel chanteur doit-on le tube ""C'est lundi"", en 1983 ?",Jesse Garon ou Jessé Garon
Pop culture,"A quel chanteur doit-on le tube ""Les Jolies Colonies de vacances"", sorti en 1966 ?",Pierre Perret
Pop culture,"A quel chanteur doit-on le tube ""Parce qu’on vient de loin"", sorti en 2003 ?",Corneille
Pop culture,"A quel chanteur doit-on les chansons ""Dites-moi"" et ""Joueur de blues"" ?",Michel Jonasz
Pop culture,"À quel chanteur doit-on les titres “Le Bal des oiseaux”, “Les Malheurs du lion”, ou encore “La Chauve-Souris” ?",Thomas Fersen
Pop culture,"A quel chanteur doit-on, en 2009, la chanson ""Heartbox"", extraite de l'album : ""Caféine"" ?",Christophe Willem
Pop culture,"À quel chanteur espagnol doit-on le titre ""Je n'ai pas changé"" ?",Julio Iglesias
Pop culture,"A quel chanteur et compositeur britannique doit-on l'album ""Goodbye Yellow Brick Road"", sorti en 1973 ?",Elton John ou Reginald Dwight
Pop culture,"À quel chanteur et compositeur doit-on la chanson “Suzanne”, interprétée pour la première fois par Judy Collins ?",Leonard Cohen
Pop culture,"A quel chanteur français d'origine arménienne doit-on les tubes ""Sur ma vie"" et ""For me, formidable"" ?",Charles Aznavour
Pop culture,"À quel chanteur français doit-on le double album ""La Superbe"", sorti en 2009 ?",Benjamin Biolay
Pop culture,"A quel chanteur français doit-on le single intitulé : ""C'est dit"", sorti en 2009 ?",Calogero
Pop culture,"A quel chanteur français doit-on le tube : ""Osez Joséphine"" ?",Alain Bashung
Pop culture,"A quel chanteur français doit-on le tube ""Fais comme l'oiseau"" ?",Michel Fugain ou Michel Fugain et le Big Bazar
Pop culture,"A quel chanteur français doit-on les tubes : ""J'entends siffler le train"" et ""Amoureux de ma femme"" ?",Richard Anthony
Pop culture,"A quel chanteur français doit-on les tubes : ""Nathalie"" et ""L'Important c'est la rose"" ?",Gilbert Bécaud
Pop culture,A quel chanteur français l'écrivain Amanda Sthers a-t-elle été mariée de 2004 à 2007 ?,Patrick Bruel
Pop culture,"À quel chanteur jamaïquain doit-on le tube ""No Woman, No Cry"" ?",Bob Marley
Pop culture,À quel chanteur Johnny Hallyday répond-il avec la chanson “Cheveux longs et idées courtes” en 1966 ?,Antoine
Pop culture,"A quel chanteur soul doit-on le tube ""It's a Man's Man's Man's World"" en 1966 ?",James Brown
Pop culture,"A quel chanteur toulousain, Maurane rend-elle hommage sur son album de reprises, sorti en 2009 ?",Claude Nougaro
Pop culture,"À quel chanteur, membre du groupe Louise Attaque, doit-on l'album ""Ginger"" en 2010 ?",Gaëtan Roussel
Pop culture,"À quel chanteur, parolier et compositeur doit-on “Aragon et Castille” et “Framboise” ?",Boby Lapointe
Pop culture,"A quel chanteur, souvent moustachu, doit-on ""La Servante du château"" et ""La Java des Gaulois"", en 1958 ?",Ricet Barrier
Savoirs académiques,"A quel Charles doit-on ""Les Paradis artificiels"", en 1860 ?",Charles Baudelaire
Pop culture,"A quel chef d'État français attribue-t-on la phrase : ""L'État, c'est moi"" ?",Louis XIV
Pop culture,A quel chiffre se rapporte l'adjectif octuple ?,8
Pop culture,A quel chiffre se rapporte l'adjectif quintuple ?,5
